zip,city,state,county,latitude,longitude,10_year_price,5_year_price,current_price,10_year_growth,5_year_growth
34276,Sarasota,FL,Sarasota,27.3364,-82.5307,"434,895.00","636,486.00","805,221.00",0.85,0.27
34277,Sarasota,FL,Sarasota,27.3364,-82.5307,"87,336.00","164,042.00","254,914.00",1.92,0.55
34278,Sarasota,FL,Sarasota,27.3316,-82.5285,"255,408.00","345,030.00","429,037.00",0.68,0.24
34280,Bradenton,FL,Manatee,27.4272,-82.4387,"155,679.00","272,606.00","395,694.00",1.54,0.45
34281,Bradenton,FL,Manatee,27.4272,-82.4387,"313,489.00","427,182.00","579,021.00",0.85,0.36
34282,Bradenton,FL,Manatee,27.4272,-82.4387,"253,505.00","342,318.00","457,426.00",0.80,0.34
34285,Venice,FL,Sarasota,27.0933,-82.4498,"171,531.00","263,141.00","350,180.00",1.04,0.33
32459,Santa Rosa Beach,FL,Walton,30.3659,-86.2458,"347,171.00","479,594.00","741,996.00",1.14,0.55
33957,Sanibel,FL,Lee,26.4514,-82.0868,"611,203.00","767,179.00","931,133.00",0.52,0.21
32771,Sanford,FL,Seminole,28.8013,-81.285,"126,208.00","186,901.00","283,795.00",1.25,0.52
32773,Sanford,FL,Seminole,28.7644,-81.282,"89,495.00","148,966.00","245,040.00",1.74,0.64
32072,Olustee,FL,Baker,30.2041,-82.4287,"43,231.00","56,006.00","72,076.00",0.67,0.29
32087,Sanderson,FL,Baker,30.2522,-82.2729,"58,962.00","90,870.00","128,926.00",1.19,0.42
32187,San Mateo,FL,Putnam,29.5888,-81.5921,"90,087.00","110,243.00","190,780.00",1.12,0.73
33576,San Antonio,FL,Pasco,28.3371,-82.2882,"133,998.00","182,790.00","281,074.00",1.10,0.54
32356,Salem,FL,Taylor,29.8539,-83.4421,"42,388.00","65,513.00","93,758.00",1.21,0.43
33701,Saint Petersburg,FL,Pinellas,27.7723,-82.6386,"178,986.00","346,842.00","539,302.00",2.01,0.55
33702,Saint Petersburg,FL,Pinellas,27.8427,-82.6448,"105,596.00","164,874.00","271,254.00",1.57,0.65
